country_name_lijphart,country_name_short,country_name,parlgov,exec-part_dim_1945-2010,exec-part_dim_1981-2010,fed-unit_dim_1945-2010,fed-unit_dim_1981-2010,ENPP_1945-2010,ENPP_1981-2010,minwin_one_per_cab_1945-2010,minwin_one_per_cab_1981-2010,index_exec_dom_1945-2010,index_exec_dom_1981-2010,index_disprop_per_1945-2010,index_disprop_per_1981-2010,index_int_grp_pluralism_1945-2010,index_int_grp_pluralism_1981-2010,index_fed_1945-2010,index_fed_1981-2010,index_bicam_1945-2010,index_bicam_1981-2010,index_const_rigid_1945-2010,index_const_rigid_1981-2010,index_jud_review_1945-2010,index_jud_review_1981-2010,index_control_indep_1945-2010,index_control_indep_1981-2010
ARG,ARG,Argentina,0,"-0,93","-1,01","1,38","1,34","3,15","3,15","82,4","82,4",8,8,"17,98","17,98","2,7","2,7","4,5","4,5",4,4,4,4,"2,7","2,7","0,39","0,39"
AUL,AUS,Australia,1,"-0,73","-0,65","1,63","1,58","2,22","2,19","80,7","86,5","9,1","7,37","9,44","10,07","2,12","1,88",5,5,4,4,4,4,3,3,"0,42","0,42"
AUT,AUT,Austria,1,"0,43","0,64","1,07","0,97","2,68","3,23","43,3","47,4","8,07","5,9","2,51","2,02","0,38","0,38","4,5","4,5",2,2,3,3,3,3,"0,55","0,53"
BAH,BAH,Bahamas,0,"-1,5","-1,33","-0,15","-0,18","1,69","1,74",100,100,"9,44","7,37","16,48","15,9",3,3,1,1,2,2,3,3,2,2,"0,41","0,41"
BAR,NAR,Barbados,0,"-1,28","-1,2","-0,49","-0,53","1,68","1,62",100,100,"8,87","7,37","17,27","18,72","2,2",2,1,1,2,2,2,2,2,2,"0,38","0,38"
BEL,BEL,Belgium,1,"1,14","1,1","0,1","0,44","4,72","6,13","37,3","36,3","2,57","4,21","3,35","3,75","1,15","1,33","3,5","4,2","2,8","2,5",3,3,"1,8","2,7","0,27","0,3"
BOT,BOT,Botswana,0,"-1,43","-1,62","-0,48","-0,52","1,38","1,43",100,100,"9,9","9,9","14,61","18,48","2,6","2,6",1,1,"2,5","2,5",2,2,2,2,"0,33","0,33"
CAN,CAN,Canada,1,-1,"-1,03","1,73","1,81","2,52","2,66","88,4","89,9","8,1","7,37","11,56","13,14","3,25","3,17",5,5,3,3,4,4,"3,4","3,9","0,52","0,52"
CR,CR,Costa Rica,0,"-0,37","-0,38","-0,28","-0,12","2,67","2,81","85,8","85,2",3,3,"14,38","14,77","2,2","2,2",1,1,1,1,3,3,"2,7","3,4","0,37","0,37"
DEN,DNK,Denmark,1,"1,31","1,35","-0,34","-0,42","4,57","4,95","23,6","5,7","3,23","3,69","1,71","1,6","0,78","0,88",2,2,"1,2",1,2,2,2,2,"0,46","0,46"
FIN,FIN,Finland,1,"1,58","1,48","-0,83","-0,83","5,04","5,05",10,"1,4","1,55","2,68","2,96","3,34","0,85","0,67",2,2,1,1,3,3,1,1,"0,28","0,28"
FRA,FRA,France,1,"-0,86","-0,89","-0,22","0,02","3,26","2,94","54,8","50,8",8,8,"20,88","19,56","2,9","2,75","1,3","1,5",3,3,"1,7",2,"2,4",3,"0,35","0,35"
GER,DEU,Germany,1,"0,78","0,63","2,41","2,33","3,09","3,3","37,8","43,4","3,8","4,92","2,67","2,55","0,88","0,88",5,5,4,4,"3,5","3,5",4,4,"0,69","0,69"
GRE,GRC,Greece,1,"-0,64","-0,55","-0,74","-0,77","2,27","2,32","98,1","97,7","4,45","3,69","7,88","6,64","3,12","3,12",1,1,1,1,2,2,2,2,"0,38","0,38"
ICE,ISL,Iceland,1,"0,53","0,55",-1,"-1,09","3,72","4,01","46,3","47,8","3,2","3,28","3,85","2,48","2,2","2,17",1,1,"1,4","1,2",1,1,2,2,"0,34","0,34"
IND,IND,India,0,"0,65","0,63","1,14","1,08","4,8","5,25","30,5",32,"3,33","3,69","9,6","8,51","2,15","2,15","4,5","4,5",3,3,3,3,4,4,"0,34","0,34"
IRE,IRL,Ireland,1,"0,17","0,38","-0,42","-0,46","2,89","2,95","49,5",31,"4,16","2,95","3,93","4,17","2,55","2,42",1,1,2,2,2,2,2,2,"0,41","0,41"
ISR,ISR,Israel,1,"1,53","1,38","-0,9","-0,81","5,18","5,65",14,"18,6","1,46","1,13","2,6","3,76","1,15","1,5",3,3,1,1,1,1,1,1,"0,41","0,46"
ITA,ITA,Italy,1,"1,12","1,13","-0,39","-0,16","4,84","5,36","11,7","8,3","1,49","2,01","3,61","4,82","2,42","2,08","1,3","1,5",3,3,2,2,"2,1","2,5","0,28","0,33"
JAM,JAM,Jamaica,0,"-1,49","-1,56","-0,4","-0,43","1,67","1,65",100,100,"9,64","9,83","15,66","15,41",3,3,1,1,2,2,3,3,2,2,"0,3","0,3"
JPN,JPN,Japan,1,"0,6","0,71","0,17","0,15","3,62","3,66","40,1","14,1","3,37","2,46",7,"10,5","1,48","1,38",2,2,3,3,4,4,2,2,"0,25","0,25"
KOR,KOR,Korea,0,"-1,22","-1,29","-0,07","-0,1","2,85","2,85",86,86,8,8,"21,97","21,97","2,9","2,9","1,5","1,5",1,1,4,4,3,3,"0,27","0,27"
LUX,LUX,Luxembourg,1,"0,61","0,38","-0,88","-0,89","3,48","3,78","45,4",50,"5,87","7,37","3,43","4,14","0,88","0,88",1,1,1,1,3,3,1,1,"0,33","0,33"
MAL,MLT,Malta,1,"-0,83","-0,75","-0,33","-0,36","1,99",2,100,100,"8,85","7,37","2,07","1,65",3,3,1,1,1,1,3,3,2,2,"0,44","0,44"
MAU,MAU,Mauritius,0,"0,42","0,42","-0,13","-0,17","2,85","2,9","15,3","10,6","2,39","2,11","15,61","16,57","1,3","1,3",1,1,1,1,3,3,3,3,"0,4","0,4"
NET,NLD,Netherlands,1,"1,34","1,17","0,3","0,28","4,87","4,86","26,8","39,7","2,91","2,68","1,21","1,08","0,98",1,3,3,3,3,3,3,1,1,"0,48","0,48"
NOR,NOR,Norway,1,"0,8","1,09","-0,66","-0,67","3,64","4,11","55,3","36,6","4,04","2,95","4,53","3,79","0,38","0,38",2,2,"1,5","1,5",3,3,2,2,"0,17","0,17"
NZ,NZL,New Zealand,1,"-0,47","-0,17","-1,67","-1,65","2,28","2,66","81,4",60,"4,54","3,28","9,25","9,11","2,68","2,71",1,1,"1,1",1,1,1,1,1,"0,21","0,24"
POR,PRT,Portugal,1,"0,22","0,04","-0,61","-0,63","3,13","2,85","53,4","55,4","3,26","3,69","4,43","4,85","2,62","2,62",1,1,1,1,3,3,2,2,"0,32","0,32"
SPA,ESP,Spain,1,"-0,62","-0,63","0,47","0,42","2,66","2,61","69,3","71,6","8,26","7,37","7,28","6,53","3,04","3,04",3,3,3,3,3,3,3,3,"0,29","0,29"
SWE,SWE,Sweden,1,"0,79","0,87","-1,03","-1,09","3,47","3,82","48,1","42,6","5,61","4,92","2,04","1,95","0,35","0,42",2,2,"1,7",1,"1,5",2,1,1,"0,29","0,29"
SWI,CHE,Switzerland,1,"1,72","1,67","1,46","1,59","5,2","5,5",4,"1,7",1,1,"2,55","3,08","0,88","0,88",5,5,4,4,4,4,1,1,"0,61","0,68"
TRI,TRI,Trinidad,0,"-1,01","-0,79","-0,24","-0,34","1,87","1,88","94,3","90,7","6,95","4,21","11,33","11,67",3,3,"1,3","1,5",2,2,3,3,2,2,"0,35","0,3"
UK,GBR,United Kingdom,1,"-1,09","-1,48","-1,06","-1,12","2,16","2,27","97,3","99,8","8,12","9,83","11,7",16,"3,02","3,08","1,2","1,4","2,5","2,5",1,1,1,1,"0,31","0,28"
URU,URU,Uruguay,0,"0,39","0,31","-0,79","-0,84","4,4","4,4","80,3","80,3",4,4,"6,05","6,05","1,7","1,7",1,1,3,3,1,1,"2,5","2,5","0,19","0,19"
US,US,United States,0,"-0,67","-0,63","2,25","2,18","2,39","2,37","80,4","78,9",4,4,"14,28","13,35","3,02","2,88",5,5,4,4,4,4,4,4,"0,56","0,56"